ID,Flux_Type,Palm,Height,Height_Groups,FluxPangalaComp,Flux10xPangala,Flux100Pangala,Tree_Height,T1,X,Y,Family,Species,T_oC,P_kPa,DBH,X1_DBH_m_,Flux_CH4,SE,Flux_CO2,SE_CO2,Volume,Area,Flux_CH4_mg,SE_CH4_Flux,Column,Flux_CO2_mg,SE_CO2_Flux,Column_3,ln_CH4_1000_,Column_2
9076,NA,NA,NA,NA,NA,NA,NA,NA,3,5.35,3.45,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9077,NA,NA,NA,NA,NA,NA,NA,NA,3,6.25,3.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9078,NA,NA,NA,NA,NA,NA,NA,NA,3,8,1,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9079,NA,NA,NA,NA,NA,NA,NA,NA,3,9.25,0.8,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9080,NA,NA,NA,NA,NA,NA,NA,NA,3,16.15,2.35,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9081,NA,NA,NA,NA,NA,NA,NA,NA,3,17.5,2.2,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9082,NA,NA,NA,NA,NA,NA,NA,NA,3,17.65,2,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9083,NA,NA,NA,NA,NA,NA,NA,NA,3,17.4,1.3,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9084,NA,NA,NA,NA,NA,NA,NA,NA,3,18,1.3,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9085,NA,NA,NA,NA,NA,NA,NA,NA,3,18.4,1.2,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9086,NA,NA,NA,NA,NA,NA,NA,NA,3,19.9,1.3,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9087,NA,NA,NA,NA,NA,NA,NA,NA,3,19.3,2,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9088,NA,NA,NA,NA,NA,NA,NA,NA,3,19,2,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9089,NA,NA,NA,NA,NA,NA,NA,NA,3,18,2.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9090,NA,NA,NA,NA,NA,NA,NA,NA,3,19.5,4,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9092,NA,NA,NA,NA,NA,NA,NA,NA,3,18.5,14,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9093,NA,NA,NA,NA,NA,NA,NA,NA,3,18.5,15,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9094,NA,NA,NA,NA,NA,NA,NA,NA,3,10,10,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9095,NA,NA,NA,NA,NA,NA,NA,NA,3,8.5,14,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9096,NA,NA,NA,NA,NA,NA,NA,NA,3,3,18,Miristicaceae,Virola pavonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9097,NA,NA,NA,NA,NA,NA,NA,NA,3,1.2,18,Euforbiaceae,Cacearea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9098,NA,NA,NA,NA,NA,NA,NA,NA,3,1.7,18.5,Euforbiaceae,Cacearea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9099,NA,NA,NA,NA,NA,NA,NA,NA,3,0.1,19.6,Clusiaceae,Sinfonea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9100,NA,NA,NA,NA,NA,NA,NA,NA,3,3,11,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9101,NA,NA,NA,NA,NA,NA,NA,NA,4,1.3,7,,Cacearea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9102,NA,NA,NA,NA,NA,NA,NA,NA,4,1,10,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9103,NA,NA,NA,NA,NA,NA,NA,NA,4,1.8,10,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9104,NA,NA,NA,NA,NA,NA,NA,NA,4,1.3,9.6,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9105,NA,NA,NA,NA,NA,NA,NA,NA,4,1.4,9.4,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9106,NA,NA,NA,NA,NA,NA,NA,NA,4,1.8,9.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9107,NA,NA,NA,NA,NA,NA,NA,NA,4,2,9.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9108,NA,NA,NA,NA,NA,NA,NA,NA,4,3,10,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9111,NA,NA,NA,NA,NA,NA,NA,NA,4,8.4,2,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9112,NA,NA,NA,NA,NA,NA,NA,NA,4,6,1.1,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9115,NA,NA,NA,NA,NA,NA,NA,NA,4,17,0.5,Cluceae,Sinfonea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9116,NA,NA,NA,NA,NA,NA,NA,NA,4,17,1.2,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9118,NA,NA,NA,NA,NA,NA,NA,NA,4,18,3,Euphorbiaceae,Alchornea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9119,NA,NA,NA,NA,NA,NA,NA,NA,4,17,5.8,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9120,NA,NA,NA,NA,NA,NA,NA,NA,4,18.5,6,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9121,NA,NA,NA,NA,NA,NA,NA,NA,4,18,9.5,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9122,NA,NA,NA,NA,NA,NA,NA,NA,4,18.3,11,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9123,NA,NA,NA,NA,NA,NA,NA,NA,4,13,10,,Virola pavonis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9125,NA,NA,NA,NA,NA,NA,NA,NA,4,20,19,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9127,NA,NA,NA,NA,NA,NA,NA,NA,4,12,15,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9128,NA,NA,NA,NA,NA,NA,NA,NA,4,7,15,Cluceae,Sinfonea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9129,NA,NA,NA,NA,NA,NA,NA,NA,4,6.8,15,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9130,NA,NA,NA,NA,NA,NA,NA,NA,4,6,13.5,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9131,NA,NA,NA,NA,NA,NA,NA,NA,4,4,13.5,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9132,NA,NA,NA,NA,NA,NA,NA,NA,4,4,18,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9134,NA,NA,NA,NA,NA,NA,NA,NA,4,0.2,19.5,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9135,NA,NA,NA,NA,NA,NA,NA,NA,5,2.5,3,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9136,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,Moraceae,Ficus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9137,NA,NA,NA,NA,NA,NA,NA,NA,5,5.1,6.2,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9138,NA,NA,NA,NA,NA,NA,NA,NA,5,1.5,7,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9139,NA,NA,NA,NA,NA,NA,NA,NA,5,2,8,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9140,NA,NA,NA,NA,NA,NA,NA,NA,5,5.5,8,Euphorbiaceae,Alchornea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9141,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9143,NA,NA,NA,NA,NA,NA,NA,NA,5,10.5,7,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9144,NA,NA,NA,NA,NA,NA,NA,NA,5,7,10,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9145,NA,NA,NA,NA,NA,NA,NA,NA,5,7.3,10.6,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9146,NA,NA,NA,NA,NA,NA,NA,NA,5,7.8,10.6,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9147,NA,NA,NA,NA,NA,NA,NA,NA,5,9,10.1,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9148,NA,NA,NA,NA,NA,NA,NA,NA,5,13,10.1,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9149,NA,NA,NA,NA,NA,NA,NA,NA,5,13,10,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9150,NA,NA,NA,NA,NA,NA,NA,NA,5,9.5,1,Bignonaceae,Tabebuia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9151,NA,NA,NA,NA,NA,NA,NA,NA,5,13,1.2,Arecaceae,Mauritiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9152,NA,NA,NA,NA,NA,NA,NA,NA,5,15,1.3,Arecaceae,Mauritia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
